start_date,end_date,content_text,category,facet,year,placement,nationality,venue,location,state,score,margin,from_par,prize
1947,,Cut from tournament,Cut,"Armour, Tommy",1947,,United Kingdom,,,,,,,
1948,,Withdrew from tournament,Withdrew,"Armour, Tommy",1948,,United Kingdom,,,,,,,
1950,,Cut from tournament,Cut,"Armour, Tommy",1950,,United Kingdom,,,,,,,
1968,,Died: 1968,Died,"Armour, Tommy",1968,,United Kingdom,,,,,,,
1867,,Born: 1867,Born,"Auchterlonie, Laurie",1867,,United Kingdom,,,,,,,
1899,,9th place,Placed,"Auchterlonie, Laurie",1899,9,United Kingdom,,,,,,,
1900,,4th place,Placed,"Auchterlonie, Laurie",1900,4,United Kingdom,,,,,,,
1901,,5th place,Placed,"Auchterlonie, Laurie",1901,5,United Kingdom,,,,,,,
1902,,"Laurie Auchterlonie wins at Garden City Golf Club (Garden City, New York) with a score of 307 and by a margin of 6 strokes, earning $200.",Victory,"Auchterlonie, Laurie",1902,1,United Kingdom,Garden City Golf Club,"Garden City, New York",New York,307,6,,200.00
1903,,7th place,Placed,"Auchterlonie, Laurie",1903,7,United Kingdom,,,,,,,
1904,,4th place,Placed,"Auchterlonie, Laurie",1904,4,United Kingdom,,,,,,,
1905,,24th place,Placed,"Auchterlonie, Laurie",1905,24,United Kingdom,,,,,,,
1906,,3rd place,Placed,"Auchterlonie, Laurie",1906,3,United Kingdom,,,,,,,
1907,,11th place,Placed,"Auchterlonie, Laurie",1907,11,United Kingdom,,,,,,,
1908,,21st place,Placed,"Auchterlonie, Laurie",1908,21,United Kingdom,,,,,,,
1909,,23rd place,Placed,"Auchterlonie, Laurie",1909,23,United Kingdom,,,,,,,
1948,,Died: 1948,Died,"Auchterlonie, Laurie",1948,,United Kingdom,,,,,,,
1886,,Born: 1886,Born,"Barnes, Jim",1886,,United Kingdom,,,,,,,
1912,,18th place,Placed,"Barnes, Jim",1912,18,United Kingdom,,,,,,,
1913,,4th place,Placed,"Barnes, Jim",1913,4,United Kingdom,,,,,,,
1914,,13th place,Placed,"Barnes, Jim",1914,13,United Kingdom,,,,,,,
1915,,4th place,Placed,"Barnes, Jim",1915,4,United Kingdom,,,,,,,
1916,,3rd place,Placed,"Barnes, Jim",1916,3,United Kingdom,,,,,,,
1919,,11th place,Placed,"Barnes, Jim",1919,11,United Kingdom,,,,,,,
1920,,6th place,Placed,"Barnes, Jim",1920,6,United Kingdom,,,,,,,
1921,,"Jim Barnes wins at Columbia Country Club (Chevy Chase, Maryland) with a score of 289 and by a margin of 9 strokes, earning $500.",Victory,"Barnes, Jim",1921,1,United Kingdom,Columbia Country Club,"Chevy Chase, Maryland",Maryland,289,9,,500.00
1922,,24th place,Placed,"Barnes, Jim",1922,24,United Kingdom,,,,,,,
1923,,12th place,Placed,"Barnes, Jim",1923,12,United Kingdom,,,,,,,
1925,,29th place,Placed,"Barnes, Jim",1925,29,United Kingdom,,,,,,,
1926,,Cut from tournament,Cut,"Barnes, Jim",1926,,United Kingdom,,,,,,,
1927,,24th place,Placed,"Barnes, Jim",1927,24,United Kingdom,,,,,,,
1928,,36th place,Placed,"Barnes, Jim",1928,36,United Kingdom,,,,,,,
1929,,21st place,Placed,"Barnes, Jim",1929,21,United Kingdom,,,,,,,
1930,,39th place,Placed,"Barnes, Jim",1930,39,United Kingdom,,,,,,,
1932,,55th place,Placed,"Barnes, Jim",1932,55,United Kingdom,,,,,,,
1966,,Died: 1966,Died,"Barnes, Jim",1966,,United Kingdom,,,,,,,
1916,,Born: 1916,Born,"Bolt, Tommy",1916,,United States,,,,,,,
1950,,Cut from tournament,Cut,"Bolt, Tommy",1950,,United States,,,,,,,
1951,,29th place,Placed,"Bolt, Tommy",1951,29,United States,,,,,,,
1952,,7th place,Placed,"Bolt, Tommy",1952,7,United States,,,,,,,
1953,,Cut from tournament,Cut,"Bolt, Tommy",1953,,United States,,,,,,,
1954,,6th place,Placed,"Bolt, Tommy",1954,6,United States,,,,,,,
1955,,3rd place,Placed,"Bolt, Tommy",1955,3,United States,,,,,,,
1956,,22nd place,Placed,"Bolt, Tommy",1956,22,United States,,,,,,,
1957,,Withdrew from tournament,Withdrew,"Bolt, Tommy",1957,,United States,,,,,,,
1958,,"Tommy Bolt wins at Southern Hills Country Club (Tulsa, Oklahoma) with a score of 283 (+3) and by a margin of 4 strokes, earning $8,000.",Victory,"Bolt, Tommy",1958,1,United States,Southern Hills Country Club,"Tulsa, Oklahoma",Oklahoma,283,4,3,"8,000.00"
1959,,38th place,Placed,"Bolt, Tommy",1959,38,United States,,,,,,,
1960,,Withdrew from tournament,Withdrew,"Bolt, Tommy",1960,,United States,,,,,,,
1961,,22nd place,Placed,"Bolt, Tommy",1961,22,United States,,,,,,,
1962,,Cut from tournament,Cut,"Bolt, Tommy",1962,,United States,,,,,,,
1963,,Cut from tournament,Cut,"Bolt, Tommy",1963,,United States,,,,,,,
1967,,Cut from tournament,Cut,"Bolt, Tommy",1967,,United States,,,,,,,
1970,,Cut from tournament,Cut,"Bolt, Tommy",1970,,United States,,,,,,,
1977,,Cut from tournament,Cut,"Bolt, Tommy",1977,,United States,,,,,,,
2008,,Died: 2008,Died,"Bolt, Tommy",2008,,United States,,,,,,,
1920,,Born: 1920,Born,"Boros, Julius",1920,,United States,,,,,,,
1950,,9th place,Placed,"Boros, Julius",1950,9,United States,,,,,,,
1951,,4th place,Placed,"Boros, Julius",1951,4,United States,,,,,,,
1952,,"Julius Boros wins at Northwood Club (Dallas, Texas) with a score of 281 (+1) and by a margin of 4 strokes, earning $4,000.",Victory,"Boros, Julius",1952,1,United States,Northwood Club,"Dallas, Texas",Texas,281,4,1,"4,000.00"
1953,,17th place,Placed,"Boros, Julius",1953,17,United States,,,,,,,
1954,,23rd place,Placed,"Boros, Julius",1954,23,United States,,,,,,,
1955,,5th place,Placed,"Boros, Julius",1955,5,United States,,,,,,,
1956,,2nd place,Placed,"Boros, Julius",1956,2,United States,,,,,,,
1957,,4th place,Placed,"Boros, Julius",1957,4,United States,,,,,,,
1958,,3rd place,Placed,"Boros, Julius",1958,3,United States,,,,,,,
1959,,28th place,Placed,"Boros, Julius",1959,28,United States,,,,,,,
1960,,3rd place,Placed,"Boros, Julius",1960,3,United States,,,,,,,
1961,,Cut from tournament,Cut,"Boros, Julius",1961,,United States,,,,,,,
1963,,"Julius Boros wins for the 2nd time at The Country Club, Composite Course (Brookline, Massachusetts) with a score of 293 (+9) in a playoff, earning $17,500.",Victory,"Boros, Julius",1963,1,United States,"The Country Club, Composite Course","Brookline, Massachusetts",Massachusetts,293,0,9,"17,500.00"
1964,,Cut from tournament,Cut,"Boros, Julius",1964,,United States,,,,,,,
1965,,4th place,Placed,"Boros, Julius",1965,4,United States,,,,,,,
1966,,17th place,Placed,"Boros, Julius",1966,17,United States,,,,,,,
1967,,Withdrew from tournament,Withdrew,"Boros, Julius",1967,,United States,,,,,,,
1968,,16th place,Placed,"Boros, Julius",1968,16,United States,,,,,,,
1969,,13th place,Placed,"Boros, Julius",1969,13,United States,,,,,,,
1970,,12th place,Placed,"Boros, Julius",1970,12,United States,,,,,,,
1971,,42nd place,Placed,"Boros, Julius",1971,42,United States,,,,,,,
1972,,29th place,Placed,"Boros, Julius",1972,29,United States,,,,,,,
1973,,7th place,Placed,"Boros, Julius",1973,7,United States,,,,,,,
1974,,Withdrew from tournament,Withdrew,"Boros, Julius",1974,,United States,,,,,,,
1975,,38th place,Placed,"Boros, Julius",1975,38,United States,,,,,,,
1977,,Cut from tournament,Cut,"Boros, Julius",1977,,United States,,,,,,,
1994,,Died: 1994,Died,"Boros, Julius",1994,,United States,,,,,,,
1902,,Born: 1902,Born,"Burke, Billy",1902,,United States,,,,,,,
1928,,18th place,Placed,"Burke, Billy",1928,18,United States,,,,,,,
1929,,15th place,Placed,"Burke, Billy",1929,15,United States,,,,,,,
1930,,28th place,Placed,"Burke, Billy",1930,28,United States,,,,,,,
1931,,"Billy Burke wins at Inverness Club (Toledo, Ohio) with a score of 292 (+4) in a playoff, earning $1,750.",Victory,"Burke, Billy",1931,1,United States,Inverness Club,"Toledo, Ohio",Ohio,292,0,4,"1,750.00"
1932,,7th place,Placed,"Burke, Billy",1932,7,United States,,,,,,,
1933,,33rd place,Placed,"Burke, Billy",1933,33,United States,,,,,,,
1934,,6th place,Placed,"Burke, Billy",1934,6,United States,,,,,,,
1935,,32nd place,Placed,"Burke, Billy",1935,32,United States,,,,,,,
1936,,18th place,Placed,"Burke, Billy",1936,18,United States,,,,,,,
1937,,16th place,Placed,"Burke, Billy",1937,16,United States,,,,,,,
1938,,Withdrew from tournament,Withdrew,"Burke, Billy",1938,,United States,,,,,,,
1939,,42nd place,Placed,"Burke, Billy",1939,42,United States,,,,,,,
1941,,Withdrew from tournament,Withdrew,"Burke, Billy",1941,,United States,,,,,,,
1946,,45th place,Placed,"Burke, Billy",1946,45,United States,,,,,,,
1947,,27th place,Placed,"Burke, Billy",1947,27,United States,,,,,,,
1949,,Cut from tournament,Cut,"Burke, Billy",1949,,United States,,,,,,,
1950,,Cut from tournament,Cut,"Burke, Billy",1950,,United States,,,,,,,
1951,,Cut from tournament,Cut,"Burke, Billy",1951,,United States,,,,,,,
1954,,Cut from tournament,Cut,"Burke, Billy",1954,,United States,,,,,,,
1972,,Died: 1972,Died,"Burke, Billy",1972,,United States,,,,,,,
1969,,Born: 1969,Born,"Cabrera, Angel",1969,,Argentina,,,,,,,
2000,,37th place,Placed,"Cabrera, Angel",2000,37,Argentina,,,,,,,
2001,,7th place,Placed,"Cabrera, Angel",2001,7,Argentina,,,,,,,
2002,,66th place,Placed,"Cabrera, Angel",2002,66,Argentina,,,,,,,
2003,,35th place,Placed,"Cabrera, Angel",2003,35,Argentina,,,,,,,
2004,,16th place,Placed,"Cabrera, Angel",2004,16,Argentina,,,,,,,
2005,,33rd place,Placed,"Cabrera, Angel",2005,33,Argentina,,,,,,,
2006,,26th place,Placed,"Cabrera, Angel",2006,26,Argentina,,,,,,,
2007,,"Ángel Cabrera wins at Oakmont Country Club (Oakmont, Pennsylvania) with a score of 285 (+5) and by a margin of 1 stroke, earning $1,260,000.",Victory,"Cabrera, Angel",2007,1,Argentina,Oakmont Country Club,"Oakmont, Pennsylvania",Pennsylvania,285,1,5,"1,260,000.00"
2008,,Cut from tournament,Cut,"Cabrera, Angel",2008,,Argentina,,,,,,,
2009,,54th place,Placed,"Cabrera, Angel",2009,54,Argentina,,,,,,,
2010,,22nd place,Placed,"Cabrera, Angel",2010,22,Argentina,,,,,,,
2011,,Cut from tournament,Cut,"Cabrera, Angel",2011,,Argentina,,,,,,,
2012,,46th place,Placed,"Cabrera, Angel",2012,46,Argentina,,,,,,,
2013,,Cut from tournament,Cut,"Cabrera, Angel",2013,,Argentina,,,,,,,
2014,,Cut from tournament,Cut,"Cabrera, Angel",2014,,Argentina,,,,,,,
2015,,64th place,Placed,"Cabrera, Angel",2015,64,Argentina,,,,,,,
2016,,37th place,Placed,"Cabrera, Angel",2016,37,Argentina,,,,,,,
1969,,Born: 1969,Born,"Campbell, Michael",1969,,New Zealand,,,,,,,
1996,,32nd place,Placed,"Campbell, Michael",1996,32,New Zealand,,,,,,,
2000,,12th place,Placed,"Campbell, Michael",2000,12,New Zealand,,,,,,,
2001,,Cut from tournament,Cut,"Campbell, Michael",2001,,New Zealand,,,,,,,
2002,,Cut from tournament,Cut,"Campbell, Michael",2002,,New Zealand,,,,,,,
2003,,Cut from tournament,Cut,"Campbell, Michael",2003,,New Zealand,,,,,,,
2004,,Cut from tournament,Cut,"Campbell, Michael",2004,,New Zealand,,,,,,,
2005,,"Michael Campbell wins at Pinehurst Resort, Course No. 2 (Pinehurst, North Carolina) with a score of 280 (E) and by a margin of 2 strokes, earning $1,170,000.",Victory,"Campbell, Michael",2005,1,New Zealand,"Pinehurst Resort, Course No. 2","Pinehurst, North Carolina",North Carolina,280,2,0,"1,170,000.00"
2006,,Cut from tournament,Cut,"Campbell, Michael",2006,,New Zealand,,,,,,,
2007,,58th place,Placed,"Campbell, Michael",2007,58,New Zealand,,,,,,,
2008,,Cut from tournament,Cut,"Campbell, Michael",2008,,New Zealand,,,,,,,
2009,,Cut from tournament,Cut,"Campbell, Michael",2009,,New Zealand,,,,,,,
2010,,Cut from tournament,Cut,"Campbell, Michael",2010,,New Zealand,,,,,,,
2011,,Cut from tournament,Cut,"Campbell, Michael",2011,,New Zealand,,,,,,,
2012,,Cut from tournament,Cut,"Campbell, Michael",2012,,New Zealand,,,,,,,
2013,,Cut from tournament,Cut,"Campbell, Michael",2013,,New Zealand,,,,,,,
1931,,Born: 1931,Born,"Casper, Billy",1931,,United States,,,,,,,
1956,,14th place,Placed,"Casper, Billy",1956,14,United States,,,,,,,
1957,,Cut from tournament,Cut,"Casper, Billy",1957,,United States,,,,,,,
1958,,13th place,Placed,"Casper, Billy",1958,13,United States,,,,,,,
1959,,"Billy Casper wins at Winged Foot Golf Club, West Course (Mamaroneck, New York) with a score of 282 (+2) and by a margin of 1 stroke, earning $12,000.",Victory,"Casper, Billy",1959,1,United States,"Winged Foot Golf Club, West Course","Mamaroneck, New York",New York,282,1,2,"12,000.00"
1960,,12th place,Placed,"Casper, Billy",1960,12,United States,,,,,,,
1961,,17th place,Placed,"Casper, Billy",1961,17,United States,,,,,,,
1962,,Cut from tournament,Cut,"Casper, Billy",1962,,United States,,,,,,,
1964,,4th place,Placed,"Casper, Billy",1964,4,United States,,,,,,,
1965,,17th place,Placed,"Casper, Billy",1965,17,United States,,,,,,,
1966,,"Billy Casper wins for the 2nd time at Olympic Club, Lake Course (San Francisco, California) with a score of 278 (-2) in a playoff, earning $26,500.",Victory,"Casper, Billy",1966,1,United States,"Olympic Club, Lake Course","San Francisco, California",California,278,0,-2,"26,500.00"
1967,,4th place,Placed,"Casper, Billy",1967,4,United States,,,,,,,
1968,,9th place,Placed,"Casper, Billy",1968,9,United States,,,,,,,
1969,,40th place,Placed,"Casper, Billy",1969,40,United States,,,,,,,
1970,,8th place,Placed,"Casper, Billy",1970,8,United States,,,,,,,
1971,,Cut from tournament,Cut,"Casper, Billy",1971,,United States,,,,,,,
1972,,11th place,Placed,"Casper, Billy",1972,11,United States,,,,,,,
1973,,Cut from tournament,Cut,"Casper, Billy",1973,,United States,,,,,,,
1974,,Cut from tournament,Cut,"Casper, Billy",1974,,United States,,,,,,,
1976,,Cut from tournament,Cut,"Casper, Billy",1976,,United States,,,,,,,
1978,,30th place,Placed,"Casper, Billy",1978,30,United States,,,,,,,
2015,,Died: 2015,Died,"Casper, Billy",2015,,United States,,,,,,,
1901,,Born: 1901,Born,"Dutra, Olin",1901,,United States,,,,,,,
1930,,25th place,Placed,"Dutra, Olin",1930,25,United States,,,,,,,
1931,,21st place,Placed,"Dutra, Olin",1931,21,United States,,,,,,,
1932,,7th place,Placed,"Dutra, Olin",1932,7,United States,,,,,,,
1933,,7th place,Placed,"Dutra, Olin",1933,7,United States,,,,,,,
1934,,"Olin Dutra wins at Merion Golf Club, East Course (Ardmore, Pennsylvania) with a score of 293 (+9) and by a margin of 1 stroke, earning $1,000.",Victory,"Dutra, Olin",1934,1,United States,"Merion Golf Club, East Course","Ardmore, Pennsylvania",Pennsylvania,293,1,9,"1,000.00"
1935,,12th place,Placed,"Dutra, Olin",1935,12,United States,,,,,,,
1936,,45th place,Placed,"Dutra, Olin",1936,45,United States,,,,,,,
1937,,55th place,Placed,"Dutra, Olin",1937,55,United States,,,,,,,
1938,,16th place,Placed,"Dutra, Olin",1938,16,United States,,,,,,,
1939,,16th place,Placed,"Dutra, Olin",1939,16,United States,,,,,,,
1940,,Cut from tournament,Cut,"Dutra, Olin",1940,,United States,,,,,,,
1941,,Withdrew from tournament,Withdrew,"Dutra, Olin",1941,,United States,,,,,,,
1948,,Cut from tournament,Cut,"Dutra, Olin",1948,,United States,,,,,,,
1983,,Died: 1983,Died,"Dutra, Olin",1983,,United States,,,,,,,
1969,,Born: 1969,Born,"Els, Ernie",1969,,South Africa,,,,,,,
1993,,7th place,Placed,"Els, Ernie",1993,7,South Africa,,,,,,,
1994,,"Ernie Els wins at Oakmont Country Club (Oakmont, Pennsylvania) with a score of 279 (-5) in a playoff, earning $320,000.",Victory,"Els, Ernie",1994,1,South Africa,Oakmont Country Club,"Oakmont, Pennsylvania",Pennsylvania,279,0,-5,"320,000.00"
1995,,Cut from tournament,Cut,"Els, Ernie",1995,,South Africa,,,,,,,
1996,,5th place,Placed,"Els, Ernie",1996,5,South Africa,,,,,,,
1997,,"Ernie Els wins for the 2nd time at Congressional Country Club, Blue Course (Bethesda, Maryland) with a score of 276 (-4) and by a margin of 1 stroke, earning $465,000.",Victory,"Els, Ernie",1997,1,South Africa,"Congressional Country Club, Blue Course","Bethesda, Maryland",Maryland,276,1,-4,"465,000.00"
1998,,49th place,Placed,"Els, Ernie",1998,49,South Africa,,,,,,,
1999,,Cut from tournament,Cut,"Els, Ernie",1999,,South Africa,,,,,,,
2000,,2nd place,Placed,"Els, Ernie",2000,2,South Africa,,,,,,,
2001,,66th place,Placed,"Els, Ernie",2001,66,South Africa,,,,,,,
2002,,24th place,Placed,"Els, Ernie",2002,24,South Africa,,,,,,,
2003,,5th place,Placed,"Els, Ernie",2003,5,South Africa,,,,,,,
2004,,9th place,Placed,"Els, Ernie",2004,9,South Africa,,,,,,,
2005,,15th place,Placed,"Els, Ernie",2005,15,South Africa,,,,,,,
2006,,26th place,Placed,"Els, Ernie",2006,26,South Africa,,,,,,,
2007,,51st place,Placed,"Els, Ernie",2007,51,South Africa,,,,,,,
2008,,14th place,Placed,"Els, Ernie",2008,14,South Africa,,,,,,,
2009,,Cut from tournament,Cut,"Els, Ernie",2009,,South Africa,,,,,,,
2010,,3rd place,Placed,"Els, Ernie",2010,3,South Africa,,,,,,,
2011,,Cut from tournament,Cut,"Els, Ernie",2011,,South Africa,,,,,,,
2012,,9th place,Placed,"Els, Ernie",2012,9,South Africa,,,,,,,
2013,,4th place,Placed,"Els, Ernie",2013,4,South Africa,,,,,,,
2014,,35th place,Placed,"Els, Ernie",2014,35,South Africa,,,,,,,
2015,,54th place,Placed,"Els, Ernie",2015,54,South Africa,,,,,,,
2016,,Cut from tournament,Cut,"Els, Ernie",2016,,South Africa,,,,,,,
1890,,Born: 1890,Born,"Evans, Chick",1890,,United States,,,,,,,
1914,,2nd place,Placed,"Evans, Chick",1914,2,United States,,,,,,,
1915,,18th place,Placed,"Evans, Chick",1915,18,United States,,,,,,,
1916,,"Chick Evans (an amateur) wins at The Minikahda Club (Minneapolis, Minnesota) with a score of 286 and by a margin of 2 strokes.",Victory,"Evans, Chick",1916,1,United States,The Minikahda Club,"Minneapolis, Minnesota",Minnesota,286,2,,0.00
1919,,9th place,Placed,"Evans, Chick",1919,9,United States,,,,,,,
1920,,6th place,Placed,"Evans, Chick",1920,6,United States,,,,,,,
1921,,4th place,Placed,"Evans, Chick",1921,4,United States,,,,,,,
1922,,16th place,Placed,"Evans, Chick",1922,16,United States,,,,,,,
1923,,14th place,Placed,"Evans, Chick",1923,14,United States,,,,,,,
1924,,10th place,Placed,"Evans, Chick",1924,10,United States,,,,,,,
1926,,13th place,Placed,"Evans, Chick",1926,13,United States,,,,,,,
1927,,Cut from tournament,Cut,"Evans, Chick",1927,,United States,,,,,,,
1928,,Cut from tournament,Cut,"Evans, Chick",1928,,United States,,,,,,,
1930,,54th place,Placed,"Evans, Chick",1930,54,United States,,,,,,,
1936,,50th place,Placed,"Evans, Chick",1936,50,United States,,,,,,,
1941,,Cut from tournament,Cut,"Evans, Chick",1941,,United States,,,,,,,
1947,,Cut from tournament,Cut,"Evans, Chick",1947,,United States,,,,,,,
1948,,Cut from tournament,Cut,"Evans, Chick",1948,,United States,,,,,,,
1949,,Cut from tournament,Cut,"Evans, Chick",1949,,United States,,,,,,,
1954,,Cut from tournament,Cut,"Evans, Chick",1954,,United States,,,,,,,
1979,,Died: 1979,Died,"Evans, Chick",1979,,United States,,,,,,,
1901,,Born: 1901,Born,"Farrell, Johnny",1901,,United States,,,,,,,
1920,,45th place,Placed,"Farrell, Johnny",1920,45,United States,,,,,,,
1921,,38th place,Placed,"Farrell, Johnny",1921,38,United States,,,,,,,
1922,,11th place,Placed,"Farrell, Johnny",1922,11,United States,,,,,,,
1923,,5th place,Placed,"Farrell, Johnny",1923,5,United States,,,,,,,
1924,,19th place,Placed,"Farrell, Johnny",1924,19,United States,,,,,,,
1925,,3rd place,Placed,"Farrell, Johnny",1925,3,United States,,,,,,,
1926,,3rd place,Placed,"Farrell, Johnny",1926,3,United States,,,,,,,
1927,,7th place,Placed,"Farrell, Johnny",1927,7,United States,,,,,,,
1928,,"Johnny Farrell wins at Olympia Fields Country Club, North Course (Olympia Fields, Illinois) with a score of 294 in a playoff, earning $500.",Victory,"Farrell, Johnny",1928,1,United States,"Olympia Fields Country Club, North Course","Olympia Fields, Illinois",Illinois,294,0,,500.00
1929,,Cut from tournament,Cut,"Farrell, Johnny",1929,,United States,,,,,,,
1930,,8th place,Placed,"Farrell, Johnny",1930,8,United States,,,,,,,
1931,,10th place,Placed,"Farrell, Johnny",1931,10,United States,,,,,,,
1932,,Cut from tournament,Cut,"Farrell, Johnny",1932,,United States,,,,,,,
1933,,9th place,Placed,"Farrell, Johnny",1933,9,United States,,,,,,,
1934,,58th place,Placed,"Farrell, Johnny",1934,58,United States,,,,,,,
1935,,52nd place,Placed,"Farrell, Johnny",1935,52,United States,,,,,,,
1936,,22nd place,Placed,"Farrell, Johnny",1936,22,United States,,,,,,,
1937,,40th place,Placed,"Farrell, Johnny",1937,40,United States,,,,,,,
1939,,Cut from tournament,Cut,"Farrell, Johnny",1939,,United States,,,,,,,
1940,,28th place,Placed,"Farrell, Johnny",1940,28,United States,,,,,,,
1941,,Cut from tournament,Cut,"Farrell, Johnny",1941,,United States,,,,,,,
1946,,Cut from tournament,Cut,"Farrell, Johnny",1946,,United States,,,,,,,
1950,,Cut from tournament,Cut,"Farrell, Johnny",1950,,United States,,,,,,,
1954,,Cut from tournament,Cut,"Farrell, Johnny",1954,,United States,,,,,,,
1988,,Died: 1988,Died,"Farrell, Johnny",1988,,United States,,,,,,,
1921,,Born: 1921,Born,"Fleck, Jack",1921,,United States,,,,,,,
1950,,Cut from tournament,Cut,"Fleck, Jack",1950,,United States,,,,,,,
1953,,52nd place,Placed,"Fleck, Jack",1953,52,United States,,,,,,,
1955,,"Jack Fleck wins at Olympic Club, Lake Course (San Francisco, California) with a score of 287 (+7) in a playoff, earning $6,000.",Victory,"Fleck, Jack",1955,1,United States,"Olympic Club, Lake Course","San Francisco, California",California,287,0,7,"6,000.00"
1956,,Cut from tournament,Cut,"Fleck, Jack",1956,,United States,,,,,,,
1957,,26th place,Placed,"Fleck, Jack",1957,26,United States,,,,,,,
1958,,Cut from tournament,Cut,"Fleck, Jack",1958,,United States,,,,,,,
1959,,19th place,Placed,"Fleck, Jack",1959,19,United States,,,,,,,
1960,,3rd place,Placed,"Fleck, Jack",1960,3,United States,,,,,,,
1961,,27th place,Placed,"Fleck, Jack",1961,27,United States,,,,,,,
1963,,Cut from tournament,Cut,"Fleck, Jack",1963,,United States,,,,,,,
1966,,Cut from tournament,Cut,"Fleck, Jack",1966,,United States,,,,,,,
1967,,Cut from tournament,Cut,"Fleck, Jack",1967,,United States,,,,,,,
1977,,Cut from tournament,Cut,"Fleck, Jack",1977,,United States,,,,,,,
2014,,Died: 2014,Died,"Fleck, Jack",2014,,United States,,,,,,,
